Id,Start time,Completion time,Email,Name,Total points,Quiz feedback,Grade posted time,Do you enjoy the outdoors? ,Points - Do you enjoy the outdoors? ,Feedback - Do you enjoy the outdoors? ,Cold or Warm Weather? ,Points - Cold or Warm Weather? ,Feedback - Cold or Warm Weather? ,Rank outdoor activities ,Points - Rank outdoor activities ,Feedback - Rank outdoor activities ,How long are you outside on average per week? ,Points - How long are you outside on average per week? ,Feedback - How long are you outside on average per week? 
1,12/10/2025 10:26,12/10/2025 10:26,anonymous,,,,,No,0,,Cold ,0,,Snow-boarding/Skiing ;Walking/Running;Camping ;Boating/Swimming ;Fishing;Hunting ;,0,,2-3 hours ,0,
2,12/10/2025 10:27,12/10/2025 10:27,anonymous,,,,,Yes,0,,Warm,0,,Fishing;Hunting ;Camping ;Boating/Swimming ;Walking/Running;Snow-boarding/Skiing ;,0,,1-2 hours ,0,
3,12/10/2025 10:27,12/10/2025 10:27,anonymous,,,,,Yes,0,,Cold ,0,,Hunting ;Snow-boarding/Skiing ;Boating/Swimming ;Fishing;Camping ;Walking/Running;,0,,1-2 hours ,0,
4,12/10/2025 10:27,12/10/2025 10:27,anonymous,,,,,Yes,0,,Warm,0,,Walking/Running;Boating/Swimming ;Snow-boarding/Skiing ;Fishing;Camping ;Hunting ;,0,,3+ hours ,0,
5,12/10/2025 10:27,12/10/2025 10:27,anonymous,,,,,Yes,0,,Warm,0,,Hunting ;Fishing;Boating/Swimming ;Camping ;Walking/Running;Snow-boarding/Skiing ;,0,,2-3 hours ,0,
6,12/10/2025 10:27,12/10/2025 10:28,anonymous,,,,,Yes,0,,Warm,0,,Walking/Running;Boating/Swimming ;Snow-boarding/Skiing ;Camping ;Fishing;Hunting ;,0,,2-3 hours ,0,
7,12/10/2025 10:27,12/10/2025 10:28,anonymous,,,,,Yes,0,,Cold ,0,,Hunting ;Camping ;Snow-boarding/Skiing ;Fishing;Boating/Swimming ;Walking/Running;,0,,3+ hours ,0,
8,12/10/2025 10:27,12/10/2025 10:28,anonymous,,,,,Yes,0,,Cold ,0,,Snow-boarding/Skiing ;Hunting ;Camping ;Walking/Running;Boating/Swimming ;Fishing;,0,,2-3 hours ,0,
9,12/10/2025 10:27,12/10/2025 10:28,anonymous,,,,,Yes,0,,Warm,0,,Boating/Swimming ;Fishing;Camping ;Walking/Running;Snow-boarding/Skiing ;Hunting ;,0,,3+ hours ,0,
10,12/10/2025 10:27,12/10/2025 10:28,anonymous,,,,,Yes,0,,Warm,0,,Walking/Running;Fishing;Camping ;Snow-boarding/Skiing ;Boating/Swimming ;Hunting ;,0,,3+ hours ,0,
11,12/10/2025 10:27,12/10/2025 10:28,anonymous,,,,,No,0,,Cold ,0,,Walking/Running;Snow-boarding/Skiing ;Boating/Swimming ;Camping ;Fishing;Hunting ;,0,,less 1 hour ,0,
12,12/10/2025 10:28,12/10/2025 10:29,anonymous,,,,,Yes,0,,Cold ,0,,Walking/Running;Hunting ;Fishing;Camping ;Snow-boarding/Skiing ;Boating/Swimming ;,0,,2-3 hours ,0,
13,12/10/2025 10:28,12/10/2025 10:29,anonymous,,,,,Yes,0,,Cold ,0,,Walking/Running;Boating/Swimming ;Snow-boarding/Skiing ;Camping ;Fishing;Hunting ;,0,,1-2 hours ,0,
14,12/10/2025 10:30,12/10/2025 10:30,anonymous,,,,,Yes,0,,Warm,0,,Boating/Swimming ;Walking/Running;Fishing;Camping ;Hunting ;Snow-boarding/Skiing ;,0,,1-2 hours ,0,
15,12/10/2025 10:29,12/10/2025 10:30,anonymous,,,,,Yes,0,,Warm,0,,Walking/Running;Boating/Swimming ;Snow-boarding/Skiing ;Camping ;Fishing;Hunting ;,0,,3+ hours ,0,
16,12/10/2025 10:29,12/10/2025 10:30,anonymous,,,,,Yes,0,,Warm,0,,Boating/Swimming ;Fishing;Walking/Running;Snow-boarding/Skiing ;Hunting ;Camping ;,0,,3+ hours ,0,
17,12/10/2025 10:30,12/10/2025 10:30,anonymous,,,,,Yes,0,,Cold ,0,,Snow-boarding/Skiing ;Fishing;Boating/Swimming ;Walking/Running;Hunting ;Camping ;,0,,3+ hours ,0,
18,12/10/2025 10:30,12/10/2025 10:31,anonymous,,,,,Yes,0,,Warm,0,,Boating/Swimming ;Snow-boarding/Skiing ;Walking/Running;Fishing;Hunting ;Camping ;,0,,3+ hours ,0,
19,12/10/2025 10:31,12/10/2025 10:31,anonymous,,,,,Yes,0,,Warm,0,,Boating/Swimming ;Walking/Running;Snow-boarding/Skiing ;Camping ;Fishing;Hunting ;,0,,3+ hours ,0,
20,12/10/2025 10:30,12/10/2025 10:31,anonymous,,,,,Yes,0,,Warm,0,,Walking/Running;Camping ;Fishing;Hunting ;Boating/Swimming ;Snow-boarding/Skiing ;,0,,1-2 hours ,0,
21,12/10/2025 10:30,12/10/2025 10:31,anonymous,,,,,Yes,0,,Warm,0,,Walking/Running;Camping ;Snow-boarding/Skiing ;Boating/Swimming ;Fishing;Hunting ;,0,,2-3 hours ,0,
22,12/10/2025 10:31,12/10/2025 10:31,anonymous,,,,,Yes,0,,Warm,0,,Camping ;Boating/Swimming ;Hunting ;Walking/Running;Snow-boarding/Skiing ;Fishing;,0,,less 1 hour ,0,
23,12/10/2025 10:30,12/10/2025 10:32,anonymous,,,,,Yes,0,,Warm,0,,Walking/Running;Camping ;Boating/Swimming ;Snow-boarding/Skiing ;Fishing;Hunting ;,0,,2-3 hours ,0,
24,12/10/2025 10:35,12/10/2025 10:36,anonymous,,,,,No,0,,Warm,0,,Fishing;Walking/Running;Boating/Swimming ;Snow-boarding/Skiing ;Hunting ;Camping ;,0,,2-3 hours ,0,
